txn_id,country,payment_method,amount,timestamp,selected_psp,best_psp,outcome,reward,latency_ms,attempts,final_psp,final_outcome,psp_ranking
txn_1,GLOBAL,Google Pay,4154.78,2026-04-26T15:30:45.107644,checkout,checkout,failure,-33.4178,693,checkout,checkout,failure,checkout
txn_2,THB,Thai QR,759.32,2026-04-26T15:30:45.113468,payok,payok,success,2.6707,827,payok→awepay,awepay,success,payok|awepay|M2pay
txn_3,IDR,Dana,3599.41,2026-04-26T15:30:45.118439,payok,payok,success,52.2294,1173,payok,payok,success,payok|brick|awepay
txn_4,THB,Thai QR,719.2,2026-04-26T15:30:45.120849,payok,payok,success,2.3693,946,payok→awepay,awepay,success,payok|awepay|M2pay
txn_5,PLN,BLIK,2344.37,2026-04-26T15:30:45.125745,Vimoni,Vimoni,failure,-18.8496,1687,Vimoni,Vimoni,failure,Vimoni
txn_6,EUR,Bank Transfer,1059.19,2026-04-26T15:30:45.128158,clearjunction,openpayd,success,14.1284,950,clearjunction,clearjunction,success,openpayd|clearjunction|altpay
txn_7,ARS,Bank Transfer,2137.24,2026-04-26T15:30:45.130587,bitso,bitso,failure,-17.7895,1018,bitso,bitso,failure,bitso
txn_8,COP,Bank Transfer,1132.56,2026-04-26T15:30:45.132951,directa24,Alfred,success,4.9744,1138,directa24→Alfred,Alfred,success,Alfred|bitso|directa24|cobre
txn_9,ARS,Bank Transfer,2460.81,2026-04-26T15:30:45.137683,bitso,bitso,failure,-20.2161,1003,bitso,bitso,failure,bitso
txn_10,UGX,Airtel,2274.45,2026-04-26T15:30:45.140045,Fincra,Fincra,success,31.8598,693,Fincra,Fincra,success,Fincra|relworx|Bitlipa|Dusupay|payaza
txn_11,NGN,Bank Transfer,4466.04,2026-04-26T15:30:45.142497,Fincra,Fincra,success,64.7331,745,Fincra,Fincra,success,Fincra|Passpoint|korapay|yellowcard
txn_12,EUR,Bank Transfer,947.97,2026-04-26T15:30:45.144926,openpayd,openpayd,success,12.4597,986,openpayd,openpayd,success,openpayd|clearjunction|altpay
txn_13,PEN,Bank Transfer,4749.59,2026-04-26T15:30:45.147325,directa24,directa24,success,69.4851,870,directa24,directa24,success,directa24
txn_14,NGN,Bank Transfer,53.98,2026-04-26T15:30:45.149692,yellowcard,Fincra,success,-0.9499,956,yellowcard,yellowcard,success,Fincra|korapay|yellowcard|Passpoint
txn_15,KES,Mobile Money,924.0,2026-04-26T15:30:45.152094,Fincra,korapay,success,11.602,799,Fincra,Fincra,success,korapay|Passpoint|Fincra|yellowcard|Sasapay
txn_16,NGN,Bank Transfer,737.56,2026-04-26T15:30:45.154550,korapay,Fincra,success,8.8062,722,korapay,korapay,success,Fincra|korapay|Passpoint|yellowcard
txn_17,JPY,Bank Transfer,981.2,2026-04-26T15:30:45.156999,Shimatomo,Shimatomo,success,13.4511,1691,Shimatomo,Shimatomo,success,Shimatomo
txn_18,ARS,Bank Transfer,4199.59,2026-04-26T15:30:45.159650,bitso,bitso,success,61.2333,1052,bitso,bitso,success,bitso
txn_19,IDR,Ewallet,2325.22,2026-04-26T15:30:45.162562,payok,payok,success,33.1197,858,payok,payok,success,payok|brick|awepay
txn_20,TZS,Vodacom M-Pesa,2842.25,2026-04-26T15:30:45.165171,relworx,relworx,success,17.7971,911,relworx→yellowcard,yellowcard,success,relworx|yellowcard|Bitlipa|Dusupay|payaza
txn_21,TZS,Bank Transfer,4783.96,2026-04-26T15:30:45.170025,yellowcard,relworx,success,70.0012,815,yellowcard,yellowcard,success,relworx|yellowcard|Bitlipa|payaza|Dusupay
txn_22,CLP,Bank Transfer,3794.29,2026-04-26T15:30:45.172520,directa24,directa24,success,55.1541,1023,directa24,directa24,success,directa24
txn_23,MYR,FPX,2085.45,2026-04-26T15:30:45.174934,awepay,M2pay,success,13.1133,1325,awepay→M2pay,M2pay,success,M2pay|awepay
txn_24,TZS,Mobile Money,634.72,2026-04-26T15:30:45.179700,relworx,relworx,success,1.2412,923,relworx→yellowcard,yellowcard,success,relworx|yellowcard|Bitlipa|payaza|Dusupay
txn_25,COP,PSE,1948.39,2026-04-26T15:30:45.184557,directa24,directa24,success,27.4654,1049,directa24,directa24,success,directa24|Alfred|bitso|cobre
txn_26,UGX,Airtel,1997.52,2026-04-26T15:30:45.187040,Fincra,Fincra,success,27.7063,652,Fincra,Fincra,success,Fincra|relworx|Bitlipa|payaza|Dusupay
txn_27,JPY,Bank Transfer,1849.87,2026-04-26T15:30:45.189562,Shimatomo,Shimatomo,success,26.4852,1285,Shimatomo,Shimatomo,success,Shimatomo
txn_28,TZS,Vodacom M-Pesa,135.06,2026-04-26T15:30:45.191957,relworx,yellowcard,success,0.2679,803,relworx,relworx,success,yellowcard|relworx|Bitlipa|Dusupay|payaza
txn_29,AUD,PayID,1158.12,2026-04-26T15:30:45.194470,Banxa,Banxa,success,16.1068,1497,Banxa,Banxa,success,Banxa
txn_30,XAF,MTN,3597.6,2026-04-26T15:30:45.196878,Afriex,Afriex,success,52.6974,1656,Afriex,Afriex,success,Afriex
txn_31,BRL,PIX,374.04,2026-04-26T15:30:45.199288,directa24,bitso,success,-0.7118,888,directa24→bitso,bitso,success,bitso|directa24|tazapay|Alfred|BRLA
txn_32,CAD,Interac Bank Transfer,4971.03,2026-04-26T15:30:45.204182,apaylo,apaylo,success,73.3033,1215,apaylo,apaylo,success,apaylo
txn_33,EGP,Bank Transfer,1615.06,2026-04-26T15:30:45.206611,Afriex,Afriex,success,22.958,1788,Afriex,Afriex,success,Afriex
txn_34,THB,Bank Transfer,3257.81,2026-04-26T15:30:45.209075,payok,payok,success,47.1071,1003,payok,payok,success,payok|M2pay|awepay
txn_35,KES,Mobile Money,3749.74,2026-04-26T15:30:45.211576,Fincra,Fincra,success,53.9903,583,Fincra,Fincra,success,Fincra|Passpoint|korapay|yellowcard|Sasapay
txn_36,MYR,DuitNow,2496.28,2026-04-26T15:30:45.214134,awepay,M2pay,failure,-39.9738,1486,awepay→M2pay,M2pay,failure,M2pay|awepay
txn_37,BRL,Bank Transfer,2664.51,2026-04-26T15:30:45.219037,directa24,directa24,success,38.2057,1194,directa24,directa24,success,directa24|bitso|tazapay|Alfred|BRLA
txn_38,PLN,BLIK,4358.31,2026-04-26T15:30:45.221607,Vimoni,Vimoni,failure,-33.9543,1694,Vimoni,Vimoni,failure,Vimoni
txn_39,COP,PSE,4184.07,2026-04-26T15:30:45.224614,directa24,directa24,success,61.0006,1041,directa24,directa24,success,directa24|bitso|Alfred|cobre
txn_40,TZS,Airtel,3422.17,2026-04-26T15:30:45.227402,yellowcard,yellowcard,success,49.574,858,yellowcard,yellowcard,success,yellowcard|relworx|Bitlipa|payaza|Dusupay
txn_41,THB,Bank Transfer,2158.38,2026-04-26T15:30:45.230098,payok,payok,success,13.1595,1165,payok→M2pay,M2pay,success,payok|M2pay|awepay
txn_42,BRL,PIX,285.44,2026-04-26T15:30:45.235200,directa24,directa24,success,-1.3789,954,directa24→Alfred,Alfred,success,directa24|Alfred|tazapay|bitso|BRLA
txn_43,XAF,MTN,2195.03,2026-04-26T15:30:45.240465,Afriex,Afriex,failure,-17.7302,1744,Afriex,Afriex,failure,Afriex
txn_44,TZS,Vodacom M-Pesa,99.97,2026-04-26T15:30:45.246532,relworx,relworx,success,-0.2621,1161,relworx,relworx,success,relworx|yellowcard|Bitlipa|Dusupay|payaza
txn_45,XAF,MTN,4636.12,2026-04-26T15:30:45.249307,Afriex,Afriex,failure,-36.0349,1404,Afriex,Afriex,failure,Afriex
txn_46,ARS,Bank Transfer,1379.32,2026-04-26T15:30:45.251892,bitso,bitso,success,18.9313,847,bitso,bitso,success,bitso
txn_47,XAF,MTN,3193.25,2026-04-26T15:30:45.254447,Afriex,Afriex,failure,-25.2158,1642,Afriex,Afriex,failure,Afriex
txn_48,NGN,Bank Transfer,4569.59,2026-04-26T15:30:45.257012,Fincra,korapay,success,66.2859,795,Fincra,Fincra,success,korapay|Fincra|Passpoint|yellowcard
txn_49,XAF,MTN,1086.75,2026-04-26T15:30:45.259678,Afriex,Afriex,success,15.0355,1574,Afriex,Afriex,success,Afriex
txn_50,COP,Bank Transfer,3252.02,2026-04-26T15:30:45.262255,directa24,bitso,success,47.0187,1163,directa24,directa24,success,bitso|directa24|Alfred|cobre
txn_51,NGN,Bank Transfer,4391.01,2026-04-26T15:30:45.264952,Fincra,Fincra,success,63.6088,633,Fincra,Fincra,success,Fincra|korapay|Passpoint|yellowcard
txn_52,COP,Bank Transfer,2557.57,2026-04-26T15:30:45.267557,directa24,directa24,success,36.6031,1047,directa24,directa24,success,directa24|bitso|Alfred|cobre
txn_53,PEN,Bank Transfer,1465.25,2026-04-26T15:30:45.270149,directa24,directa24,failure,-12.7513,1197,directa24,directa24,failure,directa24
txn_54,EGP,Bank Transfer,3288.61,2026-04-26T15:30:45.272690,Afriex,Afriex,success,48.0641,1502,Afriex,Afriex,success,Afriex
txn_55,GHS,Mobile Money,3047.31,2026-04-26T15:30:45.275276,korapay,korapay,success,43.452,764,korapay,korapay,success,korapay|Bitlipa
txn_56,CLP,Bank Transfer,2862.84,2026-04-26T15:30:45.278153,directa24,directa24,success,41.1825,1006,directa24,directa24,success,directa24
txn_57,TZS,Mobile Money,2466.76,2026-04-26T15:30:45.280749,relworx,relworx,success,35.2425,888,relworx,relworx,success,relworx|yellowcard|Bitlipa|Dusupay|payaza
txn_58,JPY,Bank Transfer,4593.24,2026-04-26T15:30:45.283392,Shimatomo,Shimatomo,success,67.6365,1205,Shimatomo,Shimatomo,success,Shimatomo
txn_59,KES,M-Pesa,1953.43,2026-04-26T15:30:45.285916,korapay,Fincra,success,27.0444,704,korapay,korapay,success,Fincra|Passpoint|korapay|yellowcard|Sasapay
txn_60,XAF,MTN,900.33,2026-04-26T15:30:45.288554,Afriex,Afriex,failure,-8.0148,1231,Afriex,Afriex,failure,Afriex
txn_61,XOF,Wave,1618.23,2026-04-26T15:30:45.291132,payaza,payaza,success,23.0069,1653,payaza,payaza,success,payaza
txn_62,MYR,DuitNow,742.11,2026-04-26T15:30:45.293746,awepay,awepay,success,9.8657,1596,awepay,awepay,success,awepay|M2pay
txn_63,MXN,CODI,133.24,2026-04-26T15:30:45.296329,tazapay,directa24,success,0.2401,852,tazapay,tazapay,success,directa24|tazapay|Alfred|bitso
txn_64,COP,Bank Transfer,1105.76,2026-04-26T15:30:45.298947,directa24,directa24,success,14.8271,927,directa24,directa24,success,directa24|Alfred|bitso|cobre
txn_65,PHP,GCash,3532.99,2026-04-26T15:30:45.301546,Xendit,Xendit,success,50.7377,719,Xendit,Xendit,success,Xendit|paymongo|Innovative|CoinsPH|wingpay
txn_66,KES,Mobile Money,963.01,2026-04-26T15:30:45.304188,Fincra,korapay,success,12.1894,571,Fincra,Fincra,success,korapay|Fincra|Passpoint|yellowcard|Sasapay
txn_67,VND,Bank Transfer,3343.83,2026-04-26T15:30:45.306840,1vnpay,1vnpay,failure,-79.0282,1608,1vnpay→awepay→M2pay,M2pay,failure,1vnpay|awepay|M2pay
txn_68,THB,Thai QR,1881.45,2026-04-26T15:30:45.314482,payok,payok,success,26.4611,1067,payok,payok,success,payok|awepay|M2pay
txn_69,NGN,Bank Transfer,4610.31,2026-04-26T15:30:45.317087,Fincra,Fincra,success,66.8979,673,Fincra,Fincra,success,Fincra|korapay|Passpoint|yellowcard
txn_70,EUR,SEPA Bank Transfer,4109.92,2026-04-26T15:30:45.319710,openpayd,openpayd,success,59.8888,997,openpayd,openpayd,success,openpayd|clearjunction|altpay
txn_71,CLP,Bank Transfer,4439.46,2026-04-26T15:30:45.322308,directa24,directa24,success,64.833,887,directa24,directa24,success,directa24
txn_72,EUR,Bank Transfer,418.49,2026-04-26T15:30:45.324950,openpayd,openpayd,success,4.5167,1064,openpayd,openpayd,success,openpayd|clearjunction|altpay
txn_73,THB,Bank Transfer,288.95,2026-04-26T15:30:45.327610,payok,payok,success,-0.8564,1145,payok→M2pay,M2pay,success,payok|awepay|M2pay
txn_74,EUR,SEPA Bank Transfer,3806.47,2026-04-26T15:30:45.332753,altpay,openpayd,success,55.8311,1598,altpay,altpay,success,openpayd|clearjunction|altpay
txn_75,CAD,Interac Bank Transfer,2259.04,2026-04-26T15:30:45.335362,apaylo,apaylo,success,32.622,1361,apaylo,apaylo,success,apaylo
txn_76,BRL,PIX QR,1136.45,2026-04-26T15:30:45.337924,tazapay,Alfred,success,15.2856,1115,tazapay,tazapay,success,Alfred|tazapay|bitso|directa24|BRLA
txn_77,PEN,Bank Transfer,1841.28,2026-04-26T15:30:45.340605,directa24,directa24,success,25.8604,876,directa24,directa24,success,directa24
txn_78,COP,Bank Transfer,1268.43,2026-04-26T15:30:45.343199,directa24,directa24,success,17.2676,884,directa24,directa24,success,directa24|bitso|cobre|Alfred
txn_79,ZAR,Bank Transfer,2131.3,2026-04-26T15:30:45.346182,Bitlipa,Bitlipa,failure,-17.2481,1334,Bitlipa,Bitlipa,failure,Bitlipa
txn_80,ZAR,Bank Transfer,4968.41,2026-04-26T15:30:45.348788,Bitlipa,Bitlipa,success,73.2611,1507,Bitlipa,Bitlipa,success,Bitlipa
txn_81,GLOBAL,Google Pay,1563.11,2026-04-26T15:30:45.351367,checkout,checkout,failure,-13.9797,636,checkout,checkout,failure,checkout
txn_82,PEN,Bank Transfer,4558.16,2026-04-26T15:30:45.353950,directa24,directa24,failure,-35.9473,1106,directa24,directa24,failure,directa24
txn_83,EGP,Bank Transfer,3019.67,2026-04-26T15:30:45.356530,Afriex,Afriex,failure,-23.9129,1540,Afriex,Afriex,failure,Afriex
txn_84,BRL,PIX QR,3255.32,2026-04-26T15:30:45.359104,tazapay,bitso,success,47.0712,858,tazapay,tazapay,success,bitso|directa24|Alfred|tazapay|BRLA
txn_85,NGN,Bank Transfer,4188.28,2026-04-26T15:30:45.362794,Fincra,Fincra,success,60.5668,739,Fincra,Fincra,success,Fincra|korapay|Passpoint|yellowcard
txn_86,XOF,Wave,398.02,2026-04-26T15:30:45.365593,payaza,payaza,failure,-4.2509,1572,payaza,payaza,failure,payaza
txn_87,EGP,Bank Transfer,1511.35,2026-04-26T15:30:45.368262,Afriex,Afriex,failure,-12.6009,1580,Afriex,Afriex,failure,Afriex
txn_88,EGP,Bank Transfer,2621.42,2026-04-26T15:30:45.370864,Afriex,Afriex,success,38.0549,1637,Afriex,Afriex,success,Afriex
txn_89,EUR,Bank Transfer,1994.31,2026-04-26T15:30:45.373451,openpayd,clearjunction,success,28.1547,993,openpayd,openpayd,success,clearjunction|altpay|openpayd
