txn_id,chosen_psp,best_psp,chosen_score,best_score,regret,is_optimal,counterfactual_psp,counterfactual_regret,decision_quality
txn_1,checkout,checkout,0.737,0.737,0.0,1,,0.737,Optimal
txn_2,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_3,payok,payok,0.6937,0.6937,0.0,1,brick,0.099333,Optimal
txn_4,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_5,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_6,clearjunction,openpayd,0.6377,0.6457,0.008,0,openpayd,-0.008,Near-optimal
txn_7,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_8,directa24,directa24,0.6617,0.6617,0.0,1,Alfred,0.032,Optimal
txn_9,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_10,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_11,Fincra,Fincra,0.737,0.737,0.0,1,Passpoint,0.032,Optimal
txn_12,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_13,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_14,yellowcard,Fincra,0.6617,0.737,0.075333,0,Fincra,-0.075333,Suboptimal
txn_15,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_16,korapay,Fincra,0.721,0.737,0.016,0,Fincra,-0.016,Near-optimal
txn_17,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_18,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_19,payok,payok,0.6937,0.6937,0.0,1,brick,0.099333,Optimal
txn_20,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_21,yellowcard,relworx,0.6617,0.6777,0.016,0,relworx,-0.016,Near-optimal
txn_22,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_23,awepay,awepay,0.5943,0.5943,0.0,1,M2pay,0.016,Optimal
txn_24,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_25,directa24,directa24,0.6617,0.6617,0.0,1,Alfred,0.032,Optimal
txn_26,Fincra,Fincra,0.737,0.737,0.0,1,relworx,0.059333,Optimal
txn_27,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_28,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_29,Banxa,Banxa,0.5623,0.5623,0.0,1,,0.562333,Optimal
txn_30,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_31,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_32,apaylo,apaylo,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_33,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_34,payok,payok,0.6937,0.6937,0.0,1,M2pay,0.115333,Optimal
txn_35,Fincra,Fincra,0.737,0.737,0.0,1,Passpoint,0.032,Optimal
txn_36,awepay,awepay,0.5943,0.5943,0.0,1,M2pay,0.016,Optimal
txn_37,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_38,Vimoni,Vimoni,0.5783,0.5783,0.0,1,,0.578333,Optimal
txn_39,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_40,yellowcard,relworx,0.6617,0.6777,0.016,0,relworx,-0.016,Near-optimal
txn_41,payok,payok,0.6937,0.6937,0.0,1,M2pay,0.115333,Optimal
txn_42,directa24,directa24,0.6617,0.6617,0.0,1,Alfred,0.032,Optimal
txn_43,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_44,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_45,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_46,bitso,bitso,0.6457,0.6457,0.0,1,,0.645667,Optimal
txn_47,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_48,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_49,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_50,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_51,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_52,directa24,directa24,0.6617,0.6617,0.0,1,bitso,0.016,Optimal
txn_53,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_54,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_55,korapay,korapay,0.721,0.721,0.0,1,Bitlipa,0.126667,Optimal
txn_56,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_57,relworx,relworx,0.6777,0.6777,0.0,1,yellowcard,0.016,Optimal
txn_58,Shimatomo,Shimatomo,0.5703,0.5703,0.0,1,,0.570333,Optimal
txn_59,korapay,Fincra,0.721,0.737,0.016,0,Fincra,-0.016,Near-optimal
txn_60,Afriex,Afriex,0.5463,0.5463,0.0,1,,0.546333,Optimal
txn_61,payaza,payaza,0.5543,0.5543,0.0,1,,0.554333,Optimal
txn_62,awepay,awepay,0.5943,0.5943,0.0,1,M2pay,0.016,Optimal
txn_63,tazapay,directa24,0.6377,0.6617,0.024,0,directa24,-0.024,Near-optimal
txn_64,directa24,directa24,0.6617,0.6617,0.0,1,Alfred,0.032,Optimal
txn_65,Xendit,Xendit,0.753,0.753,0.0,1,paymongo,0.075333,Optimal
txn_66,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_67,1vnpay,1vnpay,0.6103,0.6103,0.0,1,awepay,0.016,Optimal
txn_68,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_69,Fincra,Fincra,0.737,0.737,0.0,1,korapay,0.016,Optimal
txn_70,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_71,directa24,directa24,0.6617,0.6617,0.0,1,,0.661667,Optimal
txn_72,openpayd,openpayd,0.6457,0.6457,0.0,1,clearjunction,0.008,Optimal
txn_73,payok,payok,0.6937,0.6937,0.0,1,awepay,0.099333,Optimal
txn_74,altpay,openpayd,0.6023,0.6457,0.043333,0,openpayd,-0.043333,Near-optimal
